remedy,symptom_text,body_part,modality,source_book,severity,confidence_hint
Plumbum,"i noticed pain in abdomen, radiating to all parts of body",,,,,
Sulph,i feel amelioration,,,,,
Anthracinum,i have compare: euphor,,,,,
Drosera Rotundifolia,it hurts when diseases prevailing during,,,,,
Kali Carbonicum,"i feel lightly, especially on the feet",,,,,
Arsenic Album,"having (colch., sep.) lately",,,,,
Medorrhinum,"i have the time (carbo v.); craves fresh air; skin cold, yet throws off the",,,,,
Lac Caninum,"my problem is breasts swollen, painful, sensitive before and during (con.)",,,,,
Sepia,"having during pregnancy, child- bed and lactation; or diseases attended lately",,,,,
Zincum Metallicum,i feel persons suffering from cerebral and nervous exhaustion; defective,,,,,
Pulsatilla,"i noticed gradually, or tension much increases until very acute and then ""lets",,,,,
Apis Mellifica,irritable; nervous; fidgety; hard to please,general,not specified,Allen,moderate,0.8
Rhododendron,"toothache, every spring and fall during sharp",general,not specified,Allen,moderate,0.8
Bryonia Alba,"having constipation: inactive, no inclination; stool large, lately",,,,,
Sulphuric Acid,suffering from child has a sour odor despite careful,,,,,
Cannabis Sativa,"it gets worse when the head, form the anus, stomach, heart",,,,,
Calcarea Ostrearum,"it hurts when (especially if pupils are dilated); is followed by,",,,,,
Mercurius Cyanide,it gets worse when malignant diphtheria with intense redness of fauces and great,,,,,
Carbolic Acid,"i noticed fluid mucus, like scarpings of mucus membranes, and great",,,,,
Ruta Graveolens,been strained,general,not specified,Allen,moderate,0.8
Ipecacuanha,"it gets worse when cough, with rattling of mucus in bronchi",,,,,
Bacillinum,"i feel well (iod., nat.); stool dark, brown, watery, offensive; discharged",,,,,
Magnesia Muratica,i feel - compare: cham,,,,,
Sabina,"i have drawing pains in small of back, from sacrum to",,,,,
Calcarea Ostrearum,"i am experiencing - dry weather; lying on painful side (bry., puls.)",,,,,
Petroleum,"symptoms are worse in winter, better in summer (alum.); if",general,not specified,Allen,moderate,0.8
Capsicum,"having tonsillitis: with burning, smarting pain; intense soreness; lately",,,,,
Cyclamen Europaeum,"having pale, chlorotic; deranged menses (fer., puls.), lately",,,,,
Murex Purpurea,"it gets worse when compare: lil., plat., in nymphomania; sep",,,,,
Tabacum,"i am experiencing legs icy cold,",,,,,
Murex Purpurea,"suffering from driving to self abuse, orig., zinc.)",,,,,
Mercurius Biniodide,it gets worse when nervous affections after,,,,,
Sambucus Nigra,i am experiencing the attack (lach.),,,,,
Stramonium,"it hurts when effort to speak; distorts the face (bov., ign., spig.)",,,,,
Sulphur,"having scrofulous, lately",,,,,
Crocus Sativus,"my problem is excessively happy, affectionate, wants to kiss everybody; next",,,,,
Arnica Montana,i feel is often indicated (am,,,,,
Terebinth,"suffering from albuminuria; acute, in early stages, when blood",,,,,
Cocculus,"having - compare: ign., nux, in chorea and paralytic lately",,,,,
Aloe Socotrina,"suffering from forehead < by every footstep (bell., bry.); with heaviness of eyes",,,,,
Ignatia,or lifting (nit,general,not specified,Allen,moderate,0.8
Stramonium,i am experiencing is characteristic (op.),,,,,
Croton Tiglium,"i am experiencing - compare: kali br., phos",,,,,
Phosphate of Magnesia,"it hurts when iod., sulph.); cramping, in neuralgic affections of stomach,",,,,,
Bryonia Alba,"having white bryony, wild hop lately",,,,,
Syphillinum,pains from darkness to daylight; begin with twilight and end,general,not specified,Allen,moderate,0.8
Lyssin,"i noticed viscid, frothy in mouth and throat, with constant spitting (hydr.)",,,,,
Very much inclined to take cold,in loose rattling cough,general,not specified,Allen,moderate,0.8
Spongia Tosta,"having colic: > by hard pressure, or by laying lately",,,,,
Spongia Tosta,i feel roasted sponge,,,,,
Nux Moschata,i am experiencing amelioration,,,,,
Cannabis Sativa,"suffering from stages, burning after urination, discharge thick, yellow, pus-like,",,,,,
Podophyllum,my problem is it antidoes the bad effects of mercury,,,,,
Zincum Metallicum,"i am experiencing exanthemata (cup., sulph., tub.); symptoms of effusion into",,,,,
Bromium,"i feel bor., graph.)",,,,,
Eupatorium Perfoliatum,i am experiencing intermittents,,,,,
Bromium,it hurts when membranous and diphtheritic croup; much rattling of mucus,,,,,
Syphillinum,obstinate cases with a syphilitic history,general,not specified,Allen,moderate,0.8
Rhododendron,"i am experiencing - compare: bry., con., cal., led., lyc., sep.,",,,,,
Graphites,unhealthy skin; every injury suppurates,general,not specified,Allen,moderate,0.8
Headache and diarrhoea from jarring of ears,incipient consumption;,general,not specified,Allen,moderate,0.8
Argentum Nitricum,"flatulent dyspepsia: belching after every meal; stomach, as it it",general,not specified,Allen,moderate,0.8
Sulphur,"eyes; in face, without redness; of vesicles in mouth; and dryness of",general,not specified,Allen,moderate,0.8
Lachesis,in intermittent fever nat,general,not specified,Allen,moderate,0.8
Zincum Metallicum,enough (incipient brain disease in children),general,not specified,Allen,moderate,0.8
Trillium Pendulum,"having from nose, lungs, kidneys and uterus (ipec., mill.) lately",,,,,
Spigelia,"it gets worse when pains in chest are stitching, needle-like",,,,,
Lycopodium Clavatum,"i feel of, jal., psor.)",,,,,
Hering,are antidoted by,general,not specified,Allen,moderate,0.8
Terebinth,"my problem is haemorrhages; from bowels, with",,,,,
Bovista,"suffering from discharge from nose and all mucous membranes; very tough,",,,,,
Lac Caninum,on right (tab.),general,not specified,Allen,moderate,0.8
Caulophyllum,"it gets worse when similar: to, labor pains of puls., but mental condition opposite",,,,,
Thuja Occidentalis,"i feel scaly on edges; styes and tarsal tumors; chalazae, thick, hard knots,",,,,,
Pyrogen,"i am experiencing rapid, out of all proportion to temperature (lil.)",,,,,
Sulphur,"suddenly wide awake at night; drowsy in afternoon after sunset,",general,not specified,Allen,moderate,0.8
Veratrum Album,suffering from - from least motion; after drinking; before and,,,,,
Sabadilla,i noticed face hot and eyelids red and burning,,,,,
Symphytum,i noticed on the globe of the eye,,,,,
Podophyllum,diarrhoea in summer,general,not specified,Allen,moderate,0.8
Ferrum Metallicum,suffering from coagulates easily (fer,,,,,
Bacillinum,"i am experiencing intense, < at night when undressing, from bathing; immense",,,,,
Belladonna,"similar: to,",general,not specified,Allen,moderate,0.8
Sepia,suffering from coldness of the vertex with headache (ver,,,,,
Opium,thinks she is not at home (bry.);,general,not specified,Allen,moderate,0.8
Natrum Muriaticum,"it gets worse when profuse menses, seminal losses - or mental affections",,,,,
Aurum Metallicum,i feel gold (the element),,,,,
Nux Vomica,"it gets worse when puls., sulph",,,,,
Carbo Vegetabilis,"my problem is for the bad effects of exhausting diseases, whether in young or old",,,,,
Lac Caninum,"i am experiencing slightest provocation (lil., nit",,,,,
Nitric Acid,> by riding in carriage or train (graph.),general,not specified,Allen,moderate,0.8
Coffee Cruda,"toothache: intermittent, jerking, relieved by holding",general,not specified,Allen,moderate,0.8
Gelsemium,i noticed - compare: bap,,,,,
Aloe Socotrina,"i noticed all pains cease after stool, leaving profuse sweating and extreme",,,,,
Tarentula,"my problem is - similar: to, apis, crot., lach., plat., mygale, naja,",,,,,
Silicea,"i feel especially the right (left, spig.); < draught of air or uncovering the",,,,,
Sanicula,"my problem is neck wrinkled, hangs in folds (abrot., iod., nat",,,,,
Mercurius,"i am experiencing by chilliness and a ""cannot finish"" sensation",,,,,
Sec,it hurts when note for thought,,,,,
Apocynum Cannabinum,"it gets worse when acute hydrocephalus,",,,,,
Aurum Metallicum,"i have - aurum follows, and is followed well by syphillinum",,,,,
Mercurius Biniodide,my problem is keynotes by h.c,,,,,
Phosphoric Acid,"i noticed no notice, ""lies like a log,"" utterly regardless of surrounding;",,,,,
Plumbum,"i feel strangulated hernia, femoral, inguinal or umbilical",,,,,
Sabina,"my problem is drawing pains in small of back, from sacrum to",,,,,
Sepia,"i am experiencing inimical: to, lach.,",,,,,
Calcarea Arsenica,"having well: after conium, in lymphatic, psoric or tubercular persons lately",,,,,
Arum Triphyllum,"my problem is in dry, hoarse, croupy",,,,,
Pulsatilla,"i noticed much iron, quinine and tonics, even years before",,,,,
Pyrogen,suffering from great restlessness;,,,,,
Nitric Acid,"i feel diarrhoea: great straining but little passes, as if faeces remained",,,,,
Gelsemium,"i am experiencing for children, young people, especially women of a nervous,",,,,,
Eupatorium Perfoliatum,vertigo; sensation as if falling to the left,general,not specified,Allen,moderate,0.8
Nitric Acid,"i am experiencing inimical: to,",,,,,
Lycopodium Clavatum,suffering from advisable to begin the treatment of a chronic disease with lyc,,,,,
Oversensitive to heat and cold,"i have is followed well: by, ars",,,,,
Agaricus Muscarius,"i have - upper right, lower",,,,,
Acetic Acid,"diseases of children (abrot., iod., sanic., tub.)",general,not specified,Allen,moderate,0.8
Silicea,it gets worse when pure silica,,,,,
Conium Maculatum,"my problem is dreads being alone, yet avoids society (kali c.,",,,,,
Graphites,my problem is debility from sexual abuse,,,,,
Phosphorus,i noticed placing hands in warm water; sneezing and coryza from putting,,,,,
Silicea,it gets worse when pure silica,,,,,
Carbolic Acid,"i feel tobacco (asar., carbo",,,,,
Chamomilla,"i feel nerves; cham., abdominal nerves",,,,,
Rumex Crispus,it gets worse when diarrhoea; from 5 to 10 a,,,,,
Dulcamara,"suffering from follows well: after, cal., bry., lyc., rhus, sep",,,,,
Tartar Emetic,"it gets worse when with pneumonia, especially of right lung",,,,,
Nux Moschata,i feel absence of mind; cannot think; great,,,,,
Silicea,i noticed wants to lie down,,,,,
Lycopodium Clavatum,"it hurts when is a deep-seated, long-acting remedy, and should",,,,,
Generally better from warmth,my problem is keynotes by h.c,,,,,
Cina,"it hurts when humored, want to be carried, but carrying gives no relief; does not",,,,,
Sepia,"my problem is from pelvis; must cross limbs tightly to ""sit close"" to prevent it;",,,,,
Ferrum Metallicum,"having ineffectual urging; stools hard, difficult, followed by backache or lately",,,,,
Berberis Vulgaris,"i feel - similar: to, canth., lyc., sars., tab., in renal colic",,,,,
Phosphorus,"i am experiencing falls out in clouds (lyc.); hair falls out in bunches, baldness of",,,,,
Abrotanum,i noticed alternate constipation and diarrhoea; lineteria,,,,,
Sanguinaria,"seventh day (sabad., sil., sulph",general,not specified,Allen,moderate,0.8
Muratic Acid,urinating; on passing wind (aloe); cannot urinate without having,general,not specified,Allen,moderate,0.8
Pyrogen,it gets worse when bruised (bapt.); rapid decubitus (carb,,,,,
Ignatia,"suffering from as if a nail was driven out through the side, relieved by lying on it",,,,,
Taraxacum,i noticed m.); covered with a white film,,,,,
Spongia Tosta,i feel sputa loosened but must be swallowed again,,,,,
Sulphur often requires Selenium,"having - draught of air; in the sun; from lemonade, tea or lately",,,,,
Hering,it gets worse when the bad effects of ign,,,,,
Muratic Acid,"affections of mouth; studded with ulcers, deep, perforating; have a",general,not specified,Allen,moderate,0.8
Natrum Muriaticum,i noticed for the bad effects: of anger (caused by offence); acid,,,,,
Abrotanum,my problem is very lame and sore all over,,,,,
Ignatia,"i am experiencing inconstant, impatient, irresolute,",,,,,
Natrum Sulphuricum,"i have always worse in damp, rainy weather; sputa green, greenish,",,,,,
Phosphoric Acid,"i feel greatly distressed by the culpability of the act (compare dios.,",,,,,
Rhus,it hurts when aggravation,,,,,
Hepar Sulphuris,"i have smell, rheum); clay colored stool (cal., pod.)",,,,,
Nux Vomica,"my problem is alternate constipation and diarrhoea (sulph.,",,,,,
Staphisagria,my problem is sexual organs,,,,,
Baptisia Tinctoria,suffering from muscular soreness,,,,,
Medorrhinum,it gets worse when the gonorrhoeal virus,,,,,
Actaea Racemosa,i feel rheumatism affecting the,,,,,
Veratrum Album,i am experiencing diarrhoea with cold sweat (amm,,,,,
Colocynthis,"i feel shooting pain, like",,,,,
Graphites,"c.); painful, sore, as if ulcerated; thick",general,not specified,Allen,moderate,0.8
Phosphorus,"hahnemann says: ""acts most beneficial when patient suffers form",general,not specified,Allen,moderate,0.8
Terebinth,i feel fresh ecchymosis in great numbers from day to day (sulph,,,,,
Sanicula,m.); with the,general,not specified,Allen,moderate,0.8
Staphisagria,having was insulted; being too lately,,,,,
Lycopodium Clavatum,suffering from - warm food and drinks; from uncovering the head;,,,,,
Lac Caninum,"i noticed extend to ears (hep., kali bi.); begins on left side (lach.)",,,,,
Psorinum,"i am experiencing t., graph.)",,,,,
Arnica Montana,my problem is paralysis (left-sided);,,,,,
Digitalis Purpurea,dropsy: post-,general,not specified,Allen,moderate,0.8
Causticum,"having moisture; small, all over the body; on eyelids, face; on the nose lately",,,,,
Spigelia,"i noticed pulsating, violent, throbbing",,,,,
Phosphate of Magnesia,aggravation,general,not specified,Allen,moderate,0.8
Pulsatilla,it gets worse when best remedies with which to begin the treatment of a chronic case,,,,,
Platina,suffering from keynotes by h.c,,,,,
Iodum,my problem is in high potencies-,,,,,
Coffee Cruda,"i feel (compare, senecio, for sleeplessness",,,,,
Antimony Crudum,"it hurts when follows well: after, ant",,,,,
Terebinth,"i have in tip (compare, mur",,,,,
Causticum,"suffering from delicate, sensitive, skin prone to intertigo during dentition (lyc.),",,,,,
Stramonium,i noticed inflammation,,,,,
